Family income,South,Centre,Whalley(north),All of Surrey
Median family income $,"$96,838.00 ","$54,935.00 ","$68,569.00 ","$78,283.00 "
Average family income $,"$123,944.00 ","$61,799.00 ","$77,422.00 ","$92,446.00 "
