Year,Sales,,,,,,,,
2010,"5,820",,,,,,,,http://www.metrovancouver.org/services/regional-planning/PlanningPublications/MV_Housing_Data_Book.pdf
2011,"5,721",,,,,,,,
2012,"5,139",,,,,,,,
2013,"4,787",,,,,,,,
2014,"4,931",,,,,,,,
