Year,Cloverdale,Fleetwood,Guildford,Newton,South Surrey,Whalley,City Centre,TOTAL
2015,71100,60390,61940,133390,85470,102100,33660,514390
2016,72270,60800,62280,135130,86660,103990,35440,521130
2021,80310,63570,66470,142100,94610,111290,41850,558350
2026,90840,67110,73640,149480,105590,122100,48710,608760
2031,105220,70570,83550,160030,119010,134690,55590,673070
2036,118690,73360,93340,171810,132460,146370,62770,736030
2041,126540,75340,98900,183470,143880,155980,69470,784110
2046,129770,76410,101190,192850,149290,162690,75040,812200
